LME_nb,ECO_NAME,group,observed_period,simulated_period,simulated_scenario,observed_tonnes_yr,simulated_tonnes_yr,ratio_simulated_observed,matched_cells,plot_eligible
1,East Bering Sea,demersals,1995-2004,2015-2019,F040,1193565.53348765,274386.727968187,0.229888280341354,177,TRUE
2,Gulf of Alaska,demersals,1995-2004,2015-2019,F040,1184892.30424393,96088.793317016,0.0810949594092685,178,TRUE
3,California Current,demersals,1995-2004,2015-2019,F040,318387.219201518,24835.0605703081,0.0780026931752847,212,TRUE
4,Gulf of California,demersals,1995-2004,2015-2019,F040,104069.270774291,1496.78597264566,0.014382593070071,9,TRUE
5,Gulf of Mexico,demersals,1995-2004,2015-2019,F040,239876.462193085,65386.2224920194,0.272582903275385,119,TRUE
6,Southeast U.S. Continental Shelf,demersals,1995-2004,2015-2019,F040,21739.6970475632,5828.83835471777,0.268119575998008,22,TRUE
7,Northeast U.S. Continental Shelf,demersals,1995-2004,2015-2019,F040,153868.555995122,84054.2868024778,0.546273319190326,22,TRUE
8,Scotian Shelf,demersals,1995-2004,2015-2019,F040,100131.800951729,118005.696644097,1.17850368736486,25,TRUE
9,Labrador - Newfoundland,demersals,1995-2004,2015-2019,F040,160896.178975408,155150.198366119,0.964287650297975,85,TRUE
10,Insular Pacific-Hawaiian,demersals,1995-2004,2015-2019,F040,2775.98277300439,1.61430222363582,0.000581524582693535,84,TRUE
11,Pacific Central-American Coastal,demersals,1995-2004,2015-2019,F040,301667.952914218,7903.41958783533,0.0261990692464531,151,TRUE
12,Caribbean Sea,demersals,1995-2004,2015-2019,F040,395212.865670981,5520.49960371856,0.013968420775842,234,TRUE
13,Humboldt Current,demersals,1995-2004,2015-2019,F040,908225.606583499,10348.2433606944,0.0113939127962068,223,TRUE
14,Patagonian Shelf,demersals,1995-2004,2015-2019,F040,1207535.14949243,1231654.39288416,1.01997394726097,115,TRUE
15,South Brazil Shelf,demersals,1995-2004,2015-2019,F040,144659.531644967,47698.8101756118,0.329731540211795,43,TRUE
16,East Brazil Shelf,demersals,1995-2004,2015-2019,F040,107553.446910876,1.23087489026988,1.144430909118e-05,74,TRUE
17,North Brazil Shelf,demersals,1995-2004,2015-2019,F040,228281.844509266,192102.357748332,0.841513954652383,68,TRUE
18,Canadian Eastern Arctic - West Greenland,demersals,1995-2004,2015-2019,F040,97940.550116554,2551.23390769237,0.0260488010804133,234,TRUE
19,Greenland Sea,demersals,1995-2004,2015-2019,F040,155269.801492852,1071.15730065244,0.00689868403484595,304,TRUE
20,Barents Sea,demersals,1995-2004,2015-2019,F040,1698668.60556383,94344.80944593,0.0555404445204394,596,TRUE
21,Norwegian Sea,demersals,1995-2004,2015-2019,F040,455032.908073157,25967.827047246,0.0570680198871926,233,TRUE
22,North Sea,demersals,1995-2004,2015-2019,F040,2561689.22603963,491237.225397409,0.191763005599575,84,TRUE
23,Baltic Sea,demersals,1995-2004,2015-2019,F040,290323.822799871,148988.148007311,0.51317920303775,31,TRUE
24,Celtic-Biscay Shelf,demersals,1995-2004,2015-2019,F040,917432.800341026,285143.825437145,0.310806225078449,79,TRUE
25,Iberian Coastal,demersals,1995-2004,2015-2019,F040,94393.0226983463,745.371250112271,0.00789646553108347,30,TRUE
26,Mediterranean Sea,demersals,1995-2004,2015-2019,F040,551999.072250233,113177.382026839,0.205031833777309,197,TRUE
27,Canary Current,demersals,1995-2004,2015-2019,F040,600221.086272915,48439.4548072415,0.0807026875847152,92,TRUE
28,Guinea Current,demersals,1995-2004,2015-2019,F040,765553.648130732,28339.6293406033,0.0370184759876734,150,TRUE
29,Benguela Current,demersals,1995-2004,2015-2019,F040,598741.002132044,83537.864627817,0.139522538677573,123,TRUE
30,Agulhas Current,demersals,1995-2004,2015-2019,F040,328473.110149601,30451.8926827114,0.0927074142198192,201,TRUE
31,Somali Coastal Current,demersals,1995-2004,2015-2019,F040,305432.486964472,417.376539988927,0.00136650997455119,58,TRUE
32,Arabian Sea,demersals,1995-2004,2015-2019,F040,4268636.76398691,278148.203448723,0.0651608976887816,304,TRUE
33,Red Sea,demersals,1995-2004,2015-2019,F040,1642901.15544092,2027.15887460788,0.00123388973700236,25,TRUE
34,Bay of Bengal,demersals,1995-2004,2015-2019,F040,4074795.57793394,135723.732044008,0.0333081082101361,271,TRUE
35,Gulf of Thailand,demersals,1995-2004,2015-2019,F040,1108785.54442848,238177.203098982,0.214809080345423,22,TRUE
36,South China Sea,demersals,1995-2004,2015-2019,F040,5586046.60077984,517815.121462471,0.0926979594817883,235,TRUE
37,Sulu-Celebes Sea,demersals,1995-2004,2015-2019,F040,682728.0489394,22653.2405302281,0.0331804743710461,60,TRUE
38,Indonesian Sea,demersals,1995-2004,2015-2019,F040,1509635.73880287,295901.900881462,0.19600880747306,127,TRUE
39,North Australian Shelf,demersals,1995-2004,2015-2019,F040,1047.66643655128,493868.674632103,471.398774840803,47,TRUE
40,Northeast Australian Shelf,demersals,1995-2004,2015-2019,F040,181680.836447365,10516.3753716604,0.0578837899323913,98,TRUE
41,East Central Australian Shelf,demersals,1995-2004,2015-2019,F040,14251.1261063641,0.363368729423644,2.54975450158549e-05,50,FALSE
42,Southeast Australian Shelf,demersals,1995-2004,2015-2019,F040,69753.1936693614,103039.554294129,1.47720195841568,115,TRUE
43,South West Australian Shelf,demersals,1995-2004,2015-2019,F040,63264.3301730827,61360.8110668504,0.969911653201344,92,TRUE
44,West Central Australian Shelf,demersals,1995-2004,2015-2019,F040,18051.330502342,3288.69527211861,0.182185754767048,52,TRUE
45,Northwest Australian Shelf,demersals,1995-2004,2015-2019,F040,60424.3106692986,163583.84175923,2.70725209683437,72,TRUE
46,New Zealand Shelf,demersals,1995-2004,2015-2019,F040,542785.356043499,106119.097365309,0.195508401587763,91,TRUE
47,East China Sea,demersals,1995-2004,2015-2019,F040,2773216.39530201,407286.05978086,0.146864146797497,62,TRUE
48,Yellow Sea,demersals,1995-2004,2015-2019,F040,2326920.79171901,424585.557269388,0.182466699674692,30,TRUE
49,Kuroshio Current,demersals,1995-2004,2015-2019,F040,988019.939507844,3499.27962581542,0.003541709520112,112,TRUE
50,Sea of Japan,demersals,1995-2004,2015-2019,F040,1666367.76352759,37829.9576944372,0.022702046044358,86,TRUE
51,Oyashio Current,demersals,1995-2004,2015-2019,F040,450649.424524213,5805.08562136614,0.0128815999876069,56,TRUE
52,Sea of Okhotsk,demersals,1995-2004,2015-2019,F040,3665257.06216655,274905.946633531,0.0750031831249054,182,TRUE
53,West Bering Sea,demersals,1995-2004,2015-2019,F040,735388.966910421,4855.70674941935,0.00660290943691956,93,TRUE
54,Northern Bering - Chukchi Seas,demersals,1995-2004,2015-2019,F040,991618.36685838,88126.7633402764,0.0888716529318405,303,TRUE
55,Beaufort Sea,demersals,1995-2004,2015-2019,F040,21599.0655855669,790.64491566642,0.0366055148327691,228,TRUE
56,East Siberian Sea,demersals,1995-2004,2015-2019,F040,116287.918000801,0.192897864135862,1.65879540585234e-06,178,FALSE
57,Laptev Sea,demersals,1995-2004,2015-2019,F040,1225.92812278128,5182.22011679097,4.22718103981005,262,TRUE
58,Kara Sea,demersals,1995-2004,2015-2019,F040,13712.838940236,45169.8478733605,3.29398223593393,307,TRUE
59,Iceland Shelf and Sea,demersals,1995-2004,2015-2019,F040,493100.29969625,10115.012581601,0.0205130935589207,86,TRUE
60,Faroe Plateau,demersals,1995-2004,2015-2019,F040,87630.7242736096,3944.27313593433,0.0450101624587641,16,TRUE
61,Antarctica,demersals,1995-2004,2015-2019,F040,2508.32748143906,516890.652196447,206.069843758958,567,TRUE
62,Black Sea,demersals,1995-2004,2015-2019,F040,52409.6857743589,72417.3105767165,1.38175433618314,36,TRUE
63,Hudson Bay Complex,demersals,1995-2004,2015-2019,F040,3536.67867828396,179290.248307544,50.6945257448544,146,TRUE
64,Central Arctic,demersals,1995-2004,2015-2019,F040,17.6051967885367,0.00063891787199677,3.62914359703601e-05,3162,FALSE
65,Aleutian Islands,demersals,1995-2004,2015-2019,F040,158416.378044351,2734.42673280648,0.01726101029807,26,TRUE
66,Canadian High Arctic - North Greenland,demersals,1995-2004,2015-2019,F040,2968.30511904392,0.00118556271335216,3.99407293322336e-07,193,FALSE
1,East Bering Sea,largePel,1995-2004,2015-2019,F040,112257.048334825,447962.263498938,3.99050456201929,177,TRUE
2,Gulf of Alaska,largePel,1995-2004,2015-2019,F040,115872.180670086,359253.29186746,3.10042746921572,178,TRUE
3,California Current,largePel,1995-2004,2015-2019,F040,270631.92991793,1445058.52303066,5.33957143737206,212,TRUE
4,Gulf of California,largePel,1995-2004,2015-2019,F040,203534.415396438,21303.5016812373,0.104667810796238,9,TRUE
5,Gulf of Mexico,largePel,1995-2004,2015-2019,F040,93524.208706434,304293.584897995,3.25363442371538,119,TRUE
6,Southeast U.S. Continental Shelf,largePel,1995-2004,2015-2019,F040,28425.0399403688,14685.2739527427,0.516631603105927,22,TRUE
7,Northeast U.S. Continental Shelf,largePel,1995-2004,2015-2019,F040,229816.042932304,125387.614553653,0.54559991963045,22,TRUE
8,Scotian Shelf,largePel,1995-2004,2015-2019,F040,103438.489518133,37054.7006499288,0.358229328585013,25,TRUE
9,Labrador - Newfoundland,largePel,1995-2004,2015-2019,F040,136809.413973606,52502.7570997084,0.383765674998341,85,TRUE
