f_value,min_group_ssb_fraction,limiting_group,all_groups_pass,mean_total_yield,recommended_on_smoke_test
0.05,0.831016406669387,largePel,TRUE,0.327742751428419,FALSE
0.1,0.70301833168084,largePel,TRUE,0.623130709323292,FALSE
0.15,0.602900004371221,largePel,TRUE,0.894095306120288,FALSE
0.2,0.522493806274823,largePel,TRUE,1.14555306058394,FALSE
0.25,0.456504157601518,largePel,TRUE,1.38094831085087,FALSE
0.3,0.401618731674457,largePel,TRUE,1.60264471144853,FALSE
0.35,0.355770147464323,largePel,TRUE,1.81205423927874,FALSE
0.4,0.31721424297253,largePel,TRUE,2.0102038254226,TRUE
0.45,0.284311101511394,largePel,FALSE,2.1982662571286,FALSE
0.5,0.255832514574888,largePel,FALSE,2.37732828849713,FALSE
0.55,0.230867056534642,largePel,FALSE,2.54830350779288,FALSE
0.6,0.208744551958887,largePel,FALSE,2.71197304533166,FALSE
