lon,lat,group,2015-2019
-179.5,-76.5,smallPel,0.61366236361067
-179.5,-76.5,largePel,0.0234540001928548
-179.5,-76.5,demersals,0.183987713362834
-179.5,-76.5,total,0.821104077166359
-179.5,-75.5,smallPel,0.375452939719363
-179.5,-75.5,largePel,0.000210636729762646
-179.5,-75.5,demersals,0.126167022337157
-179.5,-75.5,total,0.501830598786283
-179.5,-74.5,smallPel,0.194401366385185
-179.5,-74.5,largePel,1.4594074455177e-08
-179.5,-74.5,demersals,0.113684481180301
-179.5,-74.5,total,0.30808586215956
-179.5,-73.5,smallPel,0.129960789431944
-179.5,-73.5,largePel,1.70471638778768e-10
-179.5,-73.5,demersals,0.0927817655901297
-179.5,-73.5,total,0.222742555192546
-179.5,-72.5,smallPel,0.118434862764594
-179.5,-72.5,largePel,9.73892887967706e-06
-179.5,-72.5,demersals,1.69033996323694e-06
-179.5,-72.5,total,0.118446292033437
-179.5,-71.5,smallPel,0.0740943827908966
-179.5,-71.5,largePel,3.02484863476814e-07
-179.5,-71.5,demersals,4.30656320480139e-07
-179.5,-71.5,total,0.0740951159320805
-179.5,-70.5,smallPel,0.0117661236308271
-179.5,-70.5,largePel,3.63063646491187e-09
-179.5,-70.5,demersals,1.32388228417128e-06
-179.5,-70.5,total,0.0117674511437477
-179.5,-69.5,smallPel,0.0196640284750689
-179.5,-69.5,largePel,1.68825150720231e-08
-179.5,-69.5,demersals,1.98747093294857e-06
-179.5,-69.5,total,0.0196660328285169
-179.5,-68.5,smallPel,0.0992066256211484
-179.5,-68.5,largePel,4.03626061521977e-06
-179.5,-68.5,demersals,1.90902695797668e-06
-179.5,-68.5,total,0.0992125709087216
-179.5,-67.5,smallPel,0.234173140495374
-179.5,-67.5,largePel,0.00100040551668274
-179.5,-67.5,demersals,1.61684278882805e-06
-179.5,-67.5,total,0.235175162854846
-179.5,-66.5,smallPel,0.441416855306635
-179.5,-66.5,largePel,0.0269900936030506
-179.5,-66.5,demersals,2.01710001945053e-06
-179.5,-66.5,total,0.468408966009705
-179.5,-65.5,smallPel,0.579965814894143
-179.5,-65.5,largePel,0.0957025536289838
-179.5,-65.5,demersals,1.63698847576255e-06
-179.5,-65.5,total,0.675670005511603
-179.5,-64.5,smallPel,0.752506718045077
-179.5,-64.5,largePel,0.229946503122446
-179.5,-64.5,demersals,1.78353935908249e-06
-179.5,-64.5,total,0.982455004706882
-179.5,-63.5,smallPel,0.979055866524794
-179.5,-63.5,largePel,0.351608789206111
-179.5,-63.5,demersals,2.02117396678719e-06
-179.5,-63.5,total,1.33066667690487
-179.5,-62.5,smallPel,1.21275582942945
-179.5,-62.5,largePel,0.4153561498249
-179.5,-62.5,demersals,2.39738947395545e-06
-179.5,-62.5,total,1.62811437664382
-179.5,-61.5,smallPel,1.22916170029167
-179.5,-61.5,largePel,0.411786450437109
-179.5,-61.5,demersals,2.51996621778375e-06
-179.5,-61.5,total,1.640950670695
-179.5,-60.5,smallPel,1.17596207852677
-179.5,-60.5,largePel,0.394181377239053
-179.5,-60.5,demersals,2.57835364681488e-06
-179.5,-60.5,total,1.57014603411947
-179.5,-59.5,smallPel,1.0608465929154
-179.5,-59.5,largePel,0.364540279968097
-179.5,-59.5,demersals,2.87651417324124e-06
-179.5,-59.5,total,1.42538974939767
-179.5,-58.5,smallPel,0.947516325127346
-179.5,-58.5,largePel,0.338024235841494
-179.5,-58.5,demersals,3.05244513619033e-06
-179.5,-58.5,total,1.28554361341398
-179.5,-57.5,smallPel,0.834471798861726
-179.5,-57.5,largePel,0.31279225994931
-179.5,-57.5,demersals,3.13527465349408e-06
-179.5,-57.5,total,1.14726719408569
-179.5,-56.5,smallPel,0.70399564287683
-179.5,-56.5,largePel,0.275578784143971
-179.5,-56.5,demersals,3.22859029767636e-06
-179.5,-56.5,total,0.979577655611098
-179.5,-55.5,smallPel,0.563267410839374
-179.5,-55.5,largePel,0.232879422496353
-179.5,-55.5,demersals,3.28909003305744e-06
-179.5,-55.5,total,0.796150122425759
-179.5,-54.5,smallPel,0.48197899664839
-179.5,-54.5,largePel,0.207499227194409
-179.5,-54.5,demersals,3.28836503765068e-06
-179.5,-54.5,total,0.689481512207837
-179.5,-53.5,smallPel,0.438823180849776
-179.5,-53.5,largePel,0.194891151558325
-179.5,-53.5,demersals,3.2394912683051e-06
-179.5,-53.5,total,0.63371757189937
-179.5,-52.5,smallPel,0.410134763408409
-179.5,-52.5,largePel,0.189212805841748
-179.5,-52.5,demersals,3.08076463102975e-06
-179.5,-52.5,total,0.599350650014788
-179.5,-51.5,smallPel,0.395763645924593
-179.5,-51.5,largePel,0.192662390221452
