"sea","group","number_of_cells","mean_absolute_change","median_absolute_change","mean_percent_change","median_percent_change","percentage_cells_decreasing"
"Bay of Biscay","Demersals",5873,0.30380402057137,-4.85616246982616e-09,455.824319362192,7.45831453289512,60.7355695555934
"Bay of Biscay","Large pelagics",5873,-0.115871913927773,-0.095264270810599,-64.7707971644236,-94.376578016429,89.6815937340371
"Bay of Biscay","Small pelagics",5873,0.307555687827251,-0.331406265732595,1.4981059945367,-41.4812834817629,59.8671888302401
"Bay of Biscay","Total yield",5873,0.495487794470848,-0.417251266165492,-4.28785446044067,-35.5980786157377,60.5823258981781
"Celtic Sea","Demersals",1904,0.0400354382389585,0.0428434853822845,11.6401622855233,13.6342366896249,20.4831932773109
"Celtic Sea","Large pelagics",1904,0.0096312067913389,0.0081426744263927,5.24152726493119,12.7515312044215,25.8403361344538
"Celtic Sea","Small pelagics",1904,0.0340736478976147,0.032838953269139,7.41112478466841,6.81603076160998,16.6491596638655
"Celtic Sea","Total yield",1904,0.083740292927912,0.0903121895045295,9.73939359852421,9.85871202774391,16.2289915966387
"English Channel","Demersals",1346,0.0254557235270324,0.0197064661928362,27.875305517747,6.15108245285476,9.88112927191679
"English Channel","Large pelagics",1346,0.0220132090998433,0.024556580725503,-4.7168475934103,9.15249944020074,26.5973254086181
"English Channel","Small pelagics",1346,0.0240088348095118,0.0208545984948295,3.72393790330618,3.36494121216433,6.61218424962853
"English Channel","Total yield",1346,0.0714777674363876,0.062901397247737,5.84834193893934,4.97223235843931,2.00594353640416
"North Sea","Demersals",13194,-0.0847004424274729,-0.0472289262606415,161.8029517293,-18.3161990001715,67.2881612854328
"North Sea","Large pelagics",13194,0.00234900541561469,-8.42057580763793e-11,810.61175126798,-6.1992175980213,55.6768227982416
"North Sea","Small pelagics",13194,-0.632272414397299,-0.535306676159853,-3.93989328946432,-55.9047850215439,86.7363953312112
"North Sea","Total yield",13194,-0.714623851409158,-0.585297347154257,-9.21582599265749,-44.0037675218608,79.8620585114446
