"region","decade","best_approach","optimal_F_or_Fcoef","maximum_valid_yield","minimum_SSB_ratio","limiting_group","limiting_group_SSB_ratio"
"Bay of Biscay","2020-2029","constant_F",0.44,5.64092727371911,0.303386375918347,"largePel",0.303386375918347
"Bay of Biscay","2030-2039","FFMSY_temp",0.62,5.47472937788107,0.30622703772847,"demersals",0.30622703772847
"Bay of Biscay","2040-2049","FFMSY_temp",0.62,5.61930755700006,0.300444763793976,"demersals",0.300444763793976
"Bay of Biscay","2050-2059","FFMSY_temp",0.6,5.5498837890162,0.305748228669129,"demersals",0.305748228669129
"Bay of Biscay","2060-2069","FFMSY_temp",0.6,5.62200466473362,0.306180306329737,"demersals",0.306180306329737
"Bay of Biscay","2070-2079","FFMSY_temp",0.6,5.79736260540384,0.303028703923352,"demersals",0.303028703923352
"Bay of Biscay","2080-2089","FFMSY_temp",0.6,5.77971106327626,0.303370900624969,"demersals",0.303370900624969
"Bay of Biscay","2090-2100","FFMSY_temp",0.58,5.87976423572097,0.307373743148754,"demersals",0.307373743148754
"Celtic Sea","2020-2029","constant_F",0.12,3.0562801123783,0.309068132963122,"largePel",0.309068132963122
"Celtic Sea","2030-2039","constant_F",0.12,3.18824467573829,0.302995846316547,"largePel",0.302995846316547
"Celtic Sea","2040-2049","constant_F",0.12,3.09761688862997,0.312405388929438,"largePel",0.312405388929438
"Celtic Sea","2050-2059","constant_F",0.12,3.31578864091975,0.30839002574635,"largePel",0.30839002574635
"Celtic Sea","2060-2069","constant_F",0.12,3.11067242238971,0.313498130892079,"largePel",0.313498130892079
"Celtic Sea","2070-2079","constant_F",0.12,3.33624865164812,0.313857519613863,"largePel",0.313857519613863
"Celtic Sea","2080-2089","constant_F",0.12,3.11197434000017,0.312891547037435,"largePel",0.312891547037435
"Celtic Sea","2090-2100","constant_F",0.12,3.28827824940358,0.322067465110599,"largePel",0.322067465110599
"English Channel","2020-2029","constant_F",0.15,3.74734228757891,0.302429407730722,"largePel",0.302429407730722
"English Channel","2030-2039","constant_F",0.14,3.48782359487581,0.317818684064787,"largePel",0.317818684064787
"English Channel","2040-2049","constant_F",0.15,3.76364005218334,0.301469411228728,"largePel",0.301469411228728
"English Channel","2050-2059","constant_F",0.14,3.60660847484215,0.314480690861828,"largePel",0.314480690861828
"English Channel","2060-2069","constant_F",0.14,3.5342144664903,0.314815367693283,"largePel",0.314815367693283
"English Channel","2070-2079","constant_F",0.14,3.64589313257264,0.316309542870735,"largePel",0.316309542870735
"English Channel","2080-2089","constant_F",0.14,3.5687541372365,0.316551570085041,"largePel",0.316551570085041
"English Channel","2090-2100","constant_F",0.15,3.93401121434907,0.305876923337952,"largePel",0.305876923337952
"North Sea","2020-2029","FFMSY_temp",0.37,5.55586208050754,0.317019120656656,"largePel",0.317019120656656
"North Sea","2030-2039","FFMSY_temp",0.35,5.27980041170308,0.307658153193799,"largePel",0.307658153193799
"North Sea","2040-2049","FFMSY_temp",0.37,5.67766175964391,0.308969484718785,"largePel",0.308969484718785
"North Sea","2050-2059","FFMSY_temp",0.31,4.93345168905389,0.306822180387215,"largePel",0.306822180387215
"North Sea","2060-2069","FFMSY_temp",0.27,4.43957215728215,0.302049162244361,"largePel",0.302049162244361
"North Sea","2070-2079","constant_F",0.17,3.0634427040438,0.31384569675261,"largePel",0.31384569675261
"North Sea","2080-2089","constant_F",0.18,3.16842221174573,0.311167702376564,"largePel",0.311167702376564
"North Sea","2090-2100","constant_F",0.17,3.05836314859448,0.319117000848636,"largePel",0.319117000848636
